,latitude,longitude,timestamp,value,measurement,retrieved_at
176,51.7,4.7,2025-07-20T01:00:00Z,18.3,t_2m:C,2025-07-21T20:03:02Z
177,51.7,4.7,2025-07-20T02:00:00Z,18.2,t_2m:C,2025-07-21T20:03:02Z
178,51.7,4.7,2025-07-20T03:00:00Z,18.1,t_2m:C,2025-07-21T20:03:02Z
179,51.7,4.7,2025-07-20T04:00:00Z,17.8,t_2m:C,2025-07-21T20:03:02Z
180,51.7,4.7,2025-07-20T05:00:00Z,18.5,t_2m:C,2025-07-21T20:03:02Z
181,51.7,4.7,2025-07-20T06:00:00Z,18.9,t_2m:C,2025-07-21T20:03:02Z
182,51.7,4.7,2025-07-20T07:00:00Z,18.9,t_2m:C,2025-07-21T20:03:02Z
183,51.7,4.7,2025-07-20T08:00:00Z,21.1,t_2m:C,2025-07-21T20:03:02Z
184,51.7,4.7,2025-07-20T09:00:00Z,23.1,t_2m:C,2025-07-21T20:03:02Z
185,51.7,4.7,2025-07-20T10:00:00Z,24.1,t_2m:C,2025-07-21T20:03:02Z
186,51.7,4.7,2025-07-20T11:00:00Z,25.3,t_2m:C,2025-07-21T20:03:02Z
187,51.7,4.7,2025-07-20T12:00:00Z,25.7,t_2m:C,2025-07-21T20:03:02Z
188,51.7,4.7,2025-07-20T13:00:00Z,22.7,t_2m:C,2025-07-21T20:03:02Z
189,51.7,4.7,2025-07-20T14:00:00Z,21.8,t_2m:C,2025-07-21T20:03:02Z
190,51.7,4.7,2025-07-20T15:00:00Z,19.9,t_2m:C,2025-07-21T20:03:02Z
191,51.7,4.7,2025-07-20T16:00:00Z,20.8,t_2m:C,2025-07-21T20:03:02Z
192,51.7,4.7,2025-07-20T17:00:00Z,21.3,t_2m:C,2025-07-21T20:03:02Z
193,51.7,4.7,2025-07-20T18:00:00Z,21.1,t_2m:C,2025-07-21T20:03:02Z
194,51.7,4.7,2025-07-20T19:00:00Z,20.1,t_2m:C,2025-07-21T20:03:02Z
195,51.7,4.7,2025-07-20T20:00:00Z,18.5,t_2m:C,2025-07-21T20:03:02Z
196,51.7,4.7,2025-07-20T21:00:00Z,18.1,t_2m:C,2025-07-21T20:03:02Z
197,51.7,4.7,2025-07-20T22:00:00Z,17.8,t_2m:C,2025-07-21T20:03:02Z
198,51.7,4.7,2025-07-20T23:00:00Z,17.0,t_2m:C,2025-07-21T20:03:02Z
199,51.7,4.7,2025-07-21T00:00:00Z,16.4,t_2m:C,2025-07-21T20:03:02Z
200,51.7,4.9,2025-07-20T00:00:00Z,19.4,t_2m:C,2025-07-21T20:03:02Z
201,51.7,4.9,2025-07-20T01:00:00Z,19.0,t_2m:C,2025-07-21T20:03:02Z
202,51.7,4.9,2025-07-20T02:00:00Z,18.8,t_2m:C,2025-07-21T20:03:02Z
203,51.7,4.9,2025-07-20T03:00:00Z,18.5,t_2m:C,2025-07-21T20:03:02Z
204,51.7,4.9,2025-07-20T04:00:00Z,18.2,t_2m:C,2025-07-21T20:03:02Z
205,51.7,4.9,2025-07-20T05:00:00Z,18.5,t_2m:C,2025-07-21T20:03:02Z
206,51.7,4.9,2025-07-20T06:00:00Z,18.8,t_2m:C,2025-07-21T20:03:02Z
207,51.7,4.9,2025-07-20T07:00:00Z,18.9,t_2m:C,2025-07-21T20:03:02Z
208,51.7,4.9,2025-07-20T08:00:00Z,21.0,t_2m:C,2025-07-21T20:03:02Z
209,51.7,4.9,2025-07-20T09:00:00Z,23.3,t_2m:C,2025-07-21T20:03:02Z
210,51.7,4.9,2025-07-20T10:00:00Z,24.3,t_2m:C,2025-07-21T20:03:02Z
211,51.7,4.9,2025-07-20T11:00:00Z,25.7,t_2m:C,2025-07-21T20:03:02Z
212,51.7,4.9,2025-07-20T12:00:00Z,26.3,t_2m:C,2025-07-21T20:03:02Z
213,51.7,4.9,2025-07-20T13:00:00Z,23.5,t_2m:C,2025-07-21T20:03:02Z
214,51.7,4.9,2025-07-20T14:00:00Z,22.4,t_2m:C,2025-07-21T20:03:02Z
215,51.7,4.9,2025-07-20T15:00:00Z,20.1,t_2m:C,2025-07-21T20:03:02Z
216,51.7,4.9,2025-07-20T16:00:00Z,20.3,t_2m:C,2025-07-21T20:03:02Z
217,51.7,4.9,2025-07-20T17:00:00Z,21.3,t_2m:C,2025-07-21T20:03:02Z
218,51.7,4.9,2025-07-20T18:00:00Z,21.2,t_2m:C,2025-07-21T20:03:02Z
219,51.7,4.9,2025-07-20T19:00:00Z,20.4,t_2m:C,2025-07-21T20:03:02Z
220,51.7,4.9,2025-07-20T20:00:00Z,19.1,t_2m:C,2025-07-21T20:03:02Z
221,51.7,4.9,2025-07-20T21:00:00Z,18.5,t_2m:C,2025-07-21T20:03:02Z
222,51.7,4.9,2025-07-20T22:00:00Z,18.2,t_2m:C,2025-07-21T20:03:02Z
223,51.7,4.9,2025-07-20T23:00:00Z,17.4,t_2m:C,2025-07-21T20:03:02Z
224,51.7,4.9,2025-07-21T00:00:00Z,16.8,t_2m:C,2025-07-21T20:03:02Z
225,51.7,5.1,2025-07-20T00:00:00Z,19.6,t_2m:C,2025-07-21T20:03:02Z
226,51.7,5.1,2025-07-20T01:00:00Z,19.0,t_2m:C,2025-07-21T20:03:02Z
227,51.7,5.1,2025-07-20T02:00:00Z,18.7,t_2m:C,2025-07-21T20:03:02Z
228,51.7,5.1,2025-07-20T03:00:00Z,18.4,t_2m:C,2025-07-21T20:03:02Z
229,51.7,5.1,2025-07-20T04:00:00Z,18.0,t_2m:C,2025-07-21T20:03:02Z
230,51.7,5.1,2025-07-20T05:00:00Z,18.4,t_2m:C,2025-07-21T20:03:02Z
231,51.7,5.1,2025-07-20T06:00:00Z,18.6,t_2m:C,2025-07-21T20:03:02Z
232,51.7,5.1,2025-07-20T07:00:00Z,18.8,t_2m:C,2025-07-21T20:03:02Z
233,51.7,5.1,2025-07-20T08:00:00Z,20.9,t_2m:C,2025-07-21T20:03:02Z
234,51.7,5.1,2025-07-20T09:00:00Z,23.4,t_2m:C,2025-07-21T20:03:02Z
235,51.7,5.1,2025-07-20T10:00:00Z,24.4,t_2m:C,2025-07-21T20:03:02Z
236,51.7,5.1,2025-07-20T11:00:00Z,26.0,t_2m:C,2025-07-21T20:03:02Z
237,51.7,5.1,2025-07-20T12:00:00Z,26.9,t_2m:C,2025-07-21T20:03:02Z
238,51.7,5.1,2025-07-20T13:00:00Z,24.6,t_2m:C,2025-07-21T20:03:02Z
239,51.7,5.1,2025-07-20T14:00:00Z,23.6,t_2m:C,2025-07-21T20:03:02Z
240,51.7,5.1,2025-07-20T15:00:00Z,20.6,t_2m:C,2025-07-21T20:03:02Z
241,51.7,5.1,2025-07-20T16:00:00Z,19.8,t_2m:C,2025-07-21T20:03:02Z
242,51.7,5.1,2025-07-20T17:00:00Z,20.9,t_2m:C,2025-07-21T20:03:02Z
243,51.7,5.1,2025-07-20T18:00:00Z,21.2,t_2m:C,2025-07-21T20:03:02Z
244,51.7,5.1,2025-07-20T19:00:00Z,20.3,t_2m:C,2025-07-21T20:03:02Z
245,51.7,5.1,2025-07-20T20:00:00Z,19.1,t_2m:C,2025-07-21T20:03:02Z
246,51.7,5.1,2025-07-20T21:00:00Z,18.5,t_2m:C,2025-07-21T20:03:02Z
247,51.7,5.1,2025-07-20T22:00:00Z,18.3,t_2m:C,2025-07-21T20:03:02Z
248,51.7,5.1,2025-07-20T23:00:00Z,17.5,t_2m:C,2025-07-21T20:03:02Z
249,51.7,5.1,2025-07-21T00:00:00Z,16.9,t_2m:C,2025-07-21T20:03:02Z
250,51.7,5.3,2025-07-20T00:00:00Z,19.5,t_2m:C,2025-07-21T20:03:02Z
251,51.7,5.3,2025-07-20T01:00:00Z,19.1,t_2m:C,2025-07-21T20:03:02Z
252,51.7,5.3,2025-07-20T02:00:00Z,18.6,t_2m:C,2025-07-21T20:03:02Z
253,51.7,5.3,2025-07-20T03:00:00Z,18.2,t_2m:C,2025-07-21T20:03:02Z
254,51.7,5.3,2025-07-20T04:00:00Z,17.9,t_2m:C,2025-07-21T20:03:02Z
255,51.7,5.3,2025-07-20T05:00:00Z,18.3,t_2m:C,2025-07-21T20:03:02Z
256,51.7,5.3,2025-07-20T06:00:00Z,18.5,t_2m:C,2025-07-21T20:03:02Z
257,51.7,5.3,2025-07-20T07:00:00Z,18.5,t_2m:C,2025-07-21T20:03:02Z
258,51.7,5.3,2025-07-20T08:00:00Z,20.7,t_2m:C,2025-07-21T20:03:02Z
259,51.7,5.3,2025-07-20T09:00:00Z,23.1,t_2m:C,2025-07-21T20:03:02Z
260,51.7,5.3,2025-07-20T10:00:00Z,24.4,t_2m:C,2025-07-21T20:03:02Z
261,51.7,5.3,2025-07-20T11:00:00Z,26.1,t_2m:C,2025-07-21T20:03:02Z
262,51.7,5.3,2025-07-20T12:00:00Z,26.9,t_2m:C,2025-07-21T20:03:02Z
263,51.7,5.3,2025-07-20T13:00:00Z,25.5,t_2m:C,2025-07-21T20:03:02Z
264,51.7,5.3,2025-07-20T14:00:00Z,24.5,t_2m:C,2025-07-21T20:03:02Z
265,51.7,5.3,2025-07-20T15:00:00Z,21.5,t_2m:C,2025-07-21T20:03:02Z
266,51.7,5.3,2025-07-20T16:00:00Z,19.4,t_2m:C,2025-07-21T20:03:02Z
267,51.7,5.3,2025-07-20T17:00:00Z,20.2,t_2m:C,2025-07-21T20:03:02Z
268,51.7,5.3,2025-07-20T18:00:00Z,20.7,t_2m:C,2025-07-21T20:03:02Z
269,51.7,5.3,2025-07-20T19:00:00Z,19.9,t_2m:C,2025-07-21T20:03:02Z
270,51.7,5.3,2025-07-20T20:00:00Z,18.9,t_2m:C,2025-07-21T20:03:02Z
271,51.7,5.3,2025-07-20T21:00:00Z,18.3,t_2m:C,2025-07-21T20:03:02Z
