,latitude,longitude,timestamp,value,measurement,retrieved_at
92,51.5,5.1,2025-07-19T17:00:00Z,27.6,t_2m:C,2025-07-20T16:38:17Z
93,51.5,5.1,2025-07-19T18:00:00Z,26.9,t_2m:C,2025-07-20T16:38:17Z
94,51.5,5.1,2025-07-19T19:00:00Z,23.7,t_2m:C,2025-07-20T16:38:17Z
95,51.5,5.1,2025-07-19T20:00:00Z,22.7,t_2m:C,2025-07-20T16:38:17Z
96,51.5,5.1,2025-07-19T21:00:00Z,21.8,t_2m:C,2025-07-20T16:38:17Z
97,51.5,5.1,2025-07-19T22:00:00Z,21.2,t_2m:C,2025-07-20T16:38:17Z
98,51.5,5.1,2025-07-19T23:00:00Z,20.6,t_2m:C,2025-07-20T16:38:17Z
99,51.5,5.1,2025-07-20T00:00:00Z,19.9,t_2m:C,2025-07-20T16:38:17Z
100,51.5,5.3,2025-07-19T00:00:00Z,20.7,t_2m:C,2025-07-20T16:38:17Z
101,51.5,5.3,2025-07-19T01:00:00Z,19.1,t_2m:C,2025-07-20T16:38:17Z
102,51.5,5.3,2025-07-19T02:00:00Z,18.4,t_2m:C,2025-07-20T16:38:17Z
103,51.5,5.3,2025-07-19T03:00:00Z,17.7,t_2m:C,2025-07-20T16:38:17Z
104,51.5,5.3,2025-07-19T04:00:00Z,17.3,t_2m:C,2025-07-20T16:38:17Z
105,51.5,5.3,2025-07-19T05:00:00Z,18.1,t_2m:C,2025-07-20T16:38:17Z
106,51.5,5.3,2025-07-19T06:00:00Z,19.6,t_2m:C,2025-07-20T16:38:17Z
107,51.5,5.3,2025-07-19T07:00:00Z,22.3,t_2m:C,2025-07-20T16:38:17Z
108,51.5,5.3,2025-07-19T08:00:00Z,24.5,t_2m:C,2025-07-20T16:38:17Z
109,51.5,5.3,2025-07-19T09:00:00Z,26.5,t_2m:C,2025-07-20T16:38:17Z
110,51.5,5.3,2025-07-19T10:00:00Z,28.2,t_2m:C,2025-07-20T16:38:17Z
111,51.5,5.3,2025-07-19T11:00:00Z,29.8,t_2m:C,2025-07-20T16:38:17Z
112,51.5,5.3,2025-07-19T12:00:00Z,30.6,t_2m:C,2025-07-20T16:38:17Z
113,51.5,5.3,2025-07-19T13:00:00Z,30.5,t_2m:C,2025-07-20T16:38:17Z
114,51.5,5.3,2025-07-19T14:00:00Z,31.6,t_2m:C,2025-07-20T16:38:17Z
115,51.5,5.3,2025-07-19T15:00:00Z,31.0,t_2m:C,2025-07-20T16:38:17Z
116,51.5,5.3,2025-07-19T16:00:00Z,28.5,t_2m:C,2025-07-20T16:38:17Z
117,51.5,5.3,2025-07-19T17:00:00Z,27.8,t_2m:C,2025-07-20T16:38:17Z
118,51.5,5.3,2025-07-19T18:00:00Z,27.1,t_2m:C,2025-07-20T16:38:17Z
119,51.5,5.3,2025-07-19T19:00:00Z,24.1,t_2m:C,2025-07-20T16:38:17Z
120,51.5,5.3,2025-07-19T20:00:00Z,22.6,t_2m:C,2025-07-20T16:38:17Z
121,51.5,5.3,2025-07-19T21:00:00Z,21.5,t_2m:C,2025-07-20T16:38:17Z
122,51.5,5.3,2025-07-19T22:00:00Z,21.1,t_2m:C,2025-07-20T16:38:17Z
123,51.5,5.3,2025-07-19T23:00:00Z,20.7,t_2m:C,2025-07-20T16:38:17Z
124,51.5,5.3,2025-07-20T00:00:00Z,20.2,t_2m:C,2025-07-20T16:38:17Z
125,51.5,5.5,2025-07-19T00:00:00Z,20.3,t_2m:C,2025-07-20T16:38:17Z
126,51.5,5.5,2025-07-19T01:00:00Z,19.0,t_2m:C,2025-07-20T16:38:17Z
127,51.5,5.5,2025-07-19T02:00:00Z,18.2,t_2m:C,2025-07-20T16:38:17Z
128,51.5,5.5,2025-07-19T03:00:00Z,17.5,t_2m:C,2025-07-20T16:38:17Z
129,51.5,5.5,2025-07-19T04:00:00Z,17.2,t_2m:C,2025-07-20T16:38:17Z
130,51.5,5.5,2025-07-19T05:00:00Z,17.9,t_2m:C,2025-07-20T16:38:17Z
131,51.5,5.5,2025-07-19T06:00:00Z,19.6,t_2m:C,2025-07-20T16:38:17Z
132,51.5,5.5,2025-07-19T07:00:00Z,22.4,t_2m:C,2025-07-20T16:38:17Z
133,51.5,5.5,2025-07-19T08:00:00Z,24.7,t_2m:C,2025-07-20T16:38:17Z
